Features,Score
Washer3,1.0
Gender_male,1.0
Body_Size_moderate,1.0
Body_Size_fat,1.0
Race_indian,1.0
Race_chinese,1.0
Age_Group_50-59,1.0
Age_Group_40-49,1.0
Age_Group_30-39,1.0
Gender_female,1.0
Dryer9,1.0
Washer6,1.0
Washer5,1.0
Washer4,0.83
Race_foreigner ,0.83
Race_malay,0.67
Body_Size_thin,0.5
Dryer10,0.33
